Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;2024T4;148.018
Total Nacional;;2024T3;150.541
Total Nacional;;2024T2;151.379
Total Nacional;;2024T1;149.962
Total Nacional;;2023T4;139.314
Total Nacional;;2023T3;155.797
Total Nacional;;2023T2;148.091
Total Nacional;;2023T1;149.645
Total Nacional;;2022T4;140.517
Total Nacional;;2022T3;143.876
Total Nacional;;2022T2;145.053
Total Nacional;;2022T1;133.988
Total Nacional;;2021T4;109.085
Total Nacional;;2021T3;118.888
Total Nacional;;2021T2;119.212
Total Nacional;;2021T1;100.041
Total Nacional;;2020T4;76.007
Total Nacional;;2020T3;86.750
Total Nacional;;2020T2;74.346
Total Nacional;;2020T1;103.005
Total Nacional;;2019T4;101.009
Total Nacional;;2019T3;104.182
Total Nacional;;2019T2;107.531
Total Nacional;;2019T1;98.745
Total Nacional;;2018T4;91.101
Total Nacional;;2018T3;96.887
Total Nacional;;2018T2;98.493
Total Nacional;;2018T1;101.512
Total Nacional;;2017T4;74.737
Total Nacional;;2017T3;82.546
Total Nacional;;2017T2;82.826
Total Nacional;;2017T1;78.356
Total Nacional;;2016T4;67.464
Total Nacional;;2016T3;68.057
Total Nacional;;2016T2;75.852
Total Nacional;;2016T1;69.028
Total Nacional;;2015T4;58.868
Total Nacional;;2015T3;62.172
Total Nacional;;2015T2;60.103
Total Nacional;;2015T1;58.707
Total Nacional;;2014T4;56.269
Total Nacional;;2014T3;57.660
Total Nacional;;2014T2;55.238
Total Nacional;;2014T1;54.965
Total Nacional;;2013T4;53.909
Total Nacional;;2013T3;72.790
Total Nacional;01 Andalucía;2024T4;23.813
Total Nacional;01 Andalucía;2024T3;21.694
Total Nacional;01 Andalucía;2024T2;20.343
Total Nacional;01 Andalucía;2024T1;20.234
Total Nacional;01 Andalucía;2023T4;19.212
Total Nacional;01 Andalucía;2023T3;22.425
Total Nacional;01 Andalucía;2023T2;22.402
Total Nacional;01 Andalucía;2023T1;17.839
Total Nacional;01 Andalucía;2022T4;22.184
Total Nacional;01 Andalucía;2022T3;18.582
Total Nacional;01 Andalucía;2022T2;23.231
Total Nacional;01 Andalucía;2022T1;16.095
Total Nacional;01 Andalucía;2021T4;19.007
Total Nacional;01 Andalucía;2021T3;17.904
Total Nacional;01 Andalucía;2021T2;16.561
Total Nacional;01 Andalucía;2021T1;16.106
Total Nacional;01 Andalucía;2020T4;12.471
Total Nacional;01 Andalucía;2020T3;15.759
Total Nacional;01 Andalucía;2020T2;12.010
Total Nacional;01 Andalucía;2020T1;11.951
Total Nacional;01 Andalucía;2019T4;16.114
Total Nacional;01 Andalucía;2019T3;13.571
Total Nacional;01 Andalucía;2019T2;13.377
Total Nacional;01 Andalucía;2019T1;10.613
Total Nacional;01 Andalucía;2018T4;9.878
Total Nacional;01 Andalucía;2018T3;11.822
Total Nacional;01 Andalucía;2018T2;11.657
Total Nacional;01 Andalucía;2018T1;13.180
Total Nacional;01 Andalucía;2017T4;7.547
Total Nacional;01 Andalucía;2017T3;10.199
Total Nacional;01 Andalucía;2017T2;9.648
Total Nacional;01 Andalucía;2017T1;8.369
Total Nacional;01 Andalucía;2016T4;8.131
Total Nacional;01 Andalucía;2016T3;8.398
Total Nacional;01 Andalucía;2016T2;6.613
Total Nacional;01 Andalucía;2016T1;8.945
Total Nacional;01 Andalucía;2015T4;7.303
Total Nacional;01 Andalucía;2015T3;8.275
Total Nacional;01 Andalucía;2015T2;7.040
Total Nacional;01 Andalucía;2015T1;6.287
Total Nacional;01 Andalucía;2014T4;8.599
Total Nacional;01 Andalucía;2014T3;10.496
Total Nacional;01 Andalucía;2014T2;9.060
Total Nacional;01 Andalucía;2014T1;7.510
Total Nacional;01 Andalucía;2013T4;8.920
Total Nacional;01 Andalucía;2013T3;10.111
Total Nacional;02 Aragón;2024T4;5.186
Total Nacional;02 Aragón;2024T3;5.256
Total Nacional;02 Aragón;2024T2;4.704
Total Nacional;02 Aragón;2024T1;4.436
Total Nacional;02 Aragón;2023T4;4.595
Total Nacional;02 Aragón;2023T3;3.810
Total Nacional;02 Aragón;2023T2;4.448
Total Nacional;02 Aragón;2023T1;3.591
Total Nacional;02 Aragón;2022T4;3.865
Total Nacional;02 Aragón;2022T3;3.331
Total Nacional;02 Aragón;2022T2;3.552
Total Nacional;02 Aragón;2022T1;4.570
Total Nacional;02 Aragón;2021T4;2.807
Total Nacional;02 Aragón;2021T3;3.718
Total Nacional;02 Aragón;2021T2;3.438
Total Nacional;02 Aragón;2021T1;3.569
Total Nacional;02 Aragón;2020T4;2.136
Total Nacional;02 Aragón;2020T3;3.030
Total Nacional;02 Aragón;2020T2;2.397
Total Nacional;02 Aragón;2020T1;2.009
Total Nacional;02 Aragón;2019T4;2.622
Total Nacional;02 Aragón;2019T3;2.200
Total Nacional;02 Aragón;2019T2;2.387
Total Nacional;02 Aragón;2019T1;2.118
Total Nacional;02 Aragón;2018T4;2.449
Total Nacional;02 Aragón;2018T3;2.610
Total Nacional;02 Aragón;2018T2;3.177
Total Nacional;02 Aragón;2018T1;2.192
Total Nacional;02 Aragón;2017T4;2.462
Total Nacional;02 Aragón;2017T3;1.897
Total Nacional;02 Aragón;2017T2;1.663
Total Nacional;02 Aragón;2017T1;1.492
Total Nacional;02 Aragón;2016T4;2.369
Total Nacional;02 Aragón;2016T3;1.979
Total Nacional;02 Aragón;2016T2;2.917
Total Nacional;02 Aragón;2016T1;2.196
Total Nacional;02 Aragón;2015T4;3.044
Total Nacional;02 Aragón;2015T3;1.988
Total Nacional;02 Aragón;2015T2;2.493
Total Nacional;02 Aragón;2015T1;1.356
Total Nacional;02 Aragón;2014T4;1.723
Total Nacional;02 Aragón;2014T3;2.108
Total Nacional;02 Aragón;2014T2;2.917
Total Nacional;02 Aragón;2014T1;1.664
Total Nacional;02 Aragón;2013T4;1.728
Total Nacional;02 Aragón;2013T3;1.939
Total Nacional;03 Asturias, Principado de;2024T4;1.635
Total Nacional;03 Asturias, Principado de;2024T3;2.394
Total Nacional;03 Asturias, Principado de;2024T2;1.850
Total Nacional;03 Asturias, Principado de;2024T1;1.452
Total Nacional;03 Asturias, Principado de;2023T4;1.701
Total Nacional;03 Asturias, Principado de;2023T3;1.682
Total Nacional;03 Asturias, Principado de;2023T2;1.326
Total Nacional;03 Asturias, Principado de;2023T1;1.677
Total Nacional;03 Asturias, Principado de;2022T4;2.740
Total Nacional;03 Asturias, Principado de;2022T3;2.856
Total Nacional;03 Asturias, Principado de;2022T2;1.514
Total Nacional;03 Asturias, Principado de;2022T1;1.977
Total Nacional;03 Asturias, Principado de;2021T4;3.374
Total Nacional;03 Asturias, Principado de;2021T3;3.167
Total Nacional;03 Asturias, Principado de;2021T2;2.945
Total Nacional;03 Asturias, Principado de;2021T1;1.051
Total Nacional;03 Asturias, Principado de;2020T4;1.431
Total Nacional;03 Asturias, Principado de;2020T3;2.050
Total Nacional;03 Asturias, Principado de;2020T2;1.025
Total Nacional;03 Asturias, Principado de;2020T1;1.263
Total Nacional;03 Asturias, Principado de;2019T4;2.193
