Sexo;Comunidades y Ciudades Autónomas;Sector económico;Periodo;Total
Ambos sexos;Total Nacional;Total;2024;100
Ambos sexos;Total Nacional;Total;2023;100
Ambos sexos;Total Nacional;Total;2022;100
Ambos sexos;Total Nacional;Total;2021;100
Ambos sexos;Total Nacional;Total;2020;100
Ambos sexos;Total Nacional;Total;2019;100
Ambos sexos;Total Nacional;Total;2018;100
Ambos sexos;Total Nacional;Total;2017;100
Ambos sexos;Total Nacional;Total;2016;100
Ambos sexos;Total Nacional;Total;2015;100
Ambos sexos;Total Nacional;Total;2014;100
Ambos sexos;Total Nacional;Total;2013;100
Ambos sexos;Total Nacional;Total;2012;100
Ambos sexos;Total Nacional;Total;2011;100
Ambos sexos;Total Nacional;Total;2010;100
Ambos sexos;Total Nacional;Total;2009;100
Ambos sexos;Total Nacional;Total;2008;100
Ambos sexos;Total Nacional;Agricultura;2024;2,6
Ambos sexos;Total Nacional;Agricultura;2023;2,6
Ambos sexos;Total Nacional;Agricultura;2022;2,9
Ambos sexos;Total Nacional;Agricultura;2021;3,1
Ambos sexos;Total Nacional;Agricultura;2020;3
Ambos sexos;Total Nacional;Agricultura;2019;3
Ambos sexos;Total Nacional;Agricultura;2018;3,2
Ambos sexos;Total Nacional;Agricultura;2017;3,3
Ambos sexos;Total Nacional;Agricultura;2016;3,1
Ambos sexos;Total Nacional;Agricultura;2015;3
Ambos sexos;Total Nacional;Agricultura;2014;3
Ambos sexos;Total Nacional;Agricultura;2013;2,9
Ambos sexos;Total Nacional;Agricultura;2012;2,9
Ambos sexos;Total Nacional;Agricultura;2011;2,8
Ambos sexos;Total Nacional;Agricultura;2010;2,8
Ambos sexos;Total Nacional;Agricultura;2009;2,7
Ambos sexos;Total Nacional;Agricultura;2008;2,5
Ambos sexos;Total Nacional;Industria;2024;14,4
Ambos sexos;Total Nacional;Industria;2023;14,4
Ambos sexos;Total Nacional;Industria;2022;14,6
Ambos sexos;Total Nacional;Industria;2021;14,8
Ambos sexos;Total Nacional;Industria;2020;15,3
Ambos sexos;Total Nacional;Industria;2019;15,2
Ambos sexos;Total Nacional;Industria;2018;15,2
Ambos sexos;Total Nacional;Industria;2017;15,2
Ambos sexos;Total Nacional;Industria;2016;14,9
Ambos sexos;Total Nacional;Industria;2015;15,1
Ambos sexos;Total Nacional;Industria;2014;14,9
Ambos sexos;Total Nacional;Industria;2013;14,9
Ambos sexos;Total Nacional;Industria;2012;15,1
Ambos sexos;Total Nacional;Industria;2011;15,2
Ambos sexos;Total Nacional;Industria;2010;15,2
Ambos sexos;Total Nacional;Industria;2009;15,7
Ambos sexos;Total Nacional;Industria;2008;17
Ambos sexos;Total Nacional;Construcción;2024;6
Ambos sexos;Total Nacional;Construcción;2023;5,8
Ambos sexos;Total Nacional;Construcción;2022;5,7
Ambos sexos;Total Nacional;Construcción;2021;5,8
Ambos sexos;Total Nacional;Construcción;2020;5,7
Ambos sexos;Total Nacional;Construcción;2019;5,7
Ambos sexos;Total Nacional;Construcción;2018;5,5
Ambos sexos;Total Nacional;Construcción;2017;5,1
Ambos sexos;Total Nacional;Construcción;2016;4,9
Ambos sexos;Total Nacional;Construcción;2015;5
Ambos sexos;Total Nacional;Construcción;2014;4,8
Ambos sexos;Total Nacional;Construcción;2013;5
Ambos sexos;Total Nacional;Construcción;2012;5,6
Ambos sexos;Total Nacional;Construcción;2011;6,8
Ambos sexos;Total Nacional;Construcción;2010;7,9
Ambos sexos;Total Nacional;Construcción;2009;9,1
Ambos sexos;Total Nacional;Construcción;2008;11,4
Ambos sexos;Total Nacional;Servicios;2024;76,9
Ambos sexos;Total Nacional;Servicios;2023;77,1
Ambos sexos;Total Nacional;Servicios;2022;76,8
Ambos sexos;Total Nacional;Servicios;2021;76,3
Ambos sexos;Total Nacional;Servicios;2020;76
Ambos sexos;Total Nacional;Servicios;2019;76,2
Ambos sexos;Total Nacional;Servicios;2018;76,2
